customer_id,age,gender,city,travel_frequency,travel_type,past_claims,loyalty_score,risk_score,segment,frequency_score,value_score,customer_score,risk_score_pred,recommended_plan
CUST_1,65,Male,Mumbai,2,Business,1,47,51,3,0.06666666666666667,0.47,0.1743333333333333,51.432816,Basic Travel Protection
CUST_2,36,Female,Delhi,8,Business,1,82,28,1,0.26666666666666666,0.82,0.3793333333333333,36.977272,Seasonal Coverage Plan
CUST_3,49,Female,Pune,2,Seasonal,1,83,34,1,0.06666666666666667,0.83,0.2823333333333333,29.511253,Seasonal Coverage Plan
CUST_4,57,Female,Pune,3,Business,1,14,18,0,0.1,0.14,0.092,18.26229,Premium Frequent Traveler Plan
CUST_5,47,Male,Mumbai,0,Seasonal,0,16,51,0,0.0,0.16,0.248,52.609375,Premium Frequent Traveler Plan
CUST_6,44,Female,Delhi,1,Seasonal,2,66,84,3,0.03333333333333333,0.66,0.014666666666666661,73.94033,Basic Travel Protection
CUST_7,26,Female,Pune,2,Personal,2,42,77,3,0.06666666666666667,0.42,-0.040666666666666684,70.8496,Basic Travel Protection
CUST_8,33,Male,Mumbai,3,Personal,1,19,22,0,0.1,0.19,0.107,25.140863,Premium Frequent Traveler Plan
CUST_9,54,Female,Pune,11,Seasonal,1,94,86,1,0.36666666666666664,0.94,0.46533333333333327,75.35908,Seasonal Coverage Plan
CUST_10,26,Female,Hyderabad,11,Seasonal,0,61,22,3,0.36666666666666664,0.61,0.5663333333333334,29.236685,Basic Travel Protection
CUST_11,45,Female,Pune,10,Personal,1,21,13,0,0.3333333333333333,0.21,0.22966666666666666,17.821,Premium Frequent Traveler Plan
CUST_12,49,Female,Pune,8,Seasonal,0,79,76,1,0.26666666666666666,0.79,0.5703333333333334,65.2888,Seasonal Coverage Plan
CUST_13,35,Male,Chennai,25,Seasonal,2,13,27,0,0.8333333333333334,0.13,0.25566666666666665,31.186264,Premium Frequent Traveler Plan
CUST_14,44,Female,Chennai,0,Personal,0,63,14,3,0.0,0.63,0.389,22.242702,Basic Travel Protection
CUST_15,52,Male,Mumbai,2,Seasonal,2,36,76,0,0.06666666666666667,0.36,-0.05866666666666667,69.85461,Premium Frequent Traveler Plan
CUST_16,43,Male,Hyderabad,2,Business,0,24,51,0,0.06666666666666667,0.24,0.30533333333333335,52.32255,Premium Frequent Traveler Plan
CUST_17,53,Female,Chennai,10,Seasonal,0,19,76,0,0.3333333333333333,0.19,0.42366666666666664,67.4141,Premium Frequent Traveler Plan
CUST_18,23,Male,Pune,11,Business,1,97,10,1,0.36666666666666664,0.97,0.4743333333333333,9.260231,Seasonal Coverage Plan
CUST_19,23,Male,Chennai,9,Personal,2,10,69,0,0.3,0.1,-0.020000000000000018,67.20723,Premium Frequent Traveler Plan
CUST_20,42,Female,Chennai,3,Personal,2,68,45,3,0.1,0.68,0.05399999999999999,40.657013,Basic Travel Protection
CUST_21,23,Male,Chennai,2,Business,1,13,56,0,0.06666666666666667,0.13,0.07233333333333333,56.39838,Premium Frequent Traveler Plan
CUST_22,19,Female,Mumbai,1,Business,0,79,84,1,0.03333333333333333,0.79,0.45366666666666666,75.77734,Seasonal Coverage Plan
CUST_23,50,Male,Pune,26,Personal,1,64,42,2,0.8666666666666667,0.64,0.6253333333333333,47.86307,Business Flyer Plan
CUST_24,27,Female,Pune,10,Personal,0,69,16,1,0.3333333333333333,0.69,0.5736666666666667,17.725374,Seasonal Coverage Plan
CUST_25,32,Female,Mumbai,1,Personal,0,18,62,0,0.03333333333333333,0.18,0.27066666666666667,54.765156,Premium Frequent Traveler Plan
CUST_26,58,Male,Pune,29,Personal,0,15,38,0,0.9666666666666667,0.15,0.7283333333333333,38.877857,Premium Frequent Traveler Plan
CUST_27,35,Female,Pune,11,Seasonal,1,92,43,1,0.36666666666666664,0.92,0.45933333333333337,44.88451,Seasonal Coverage Plan
